"class","subclass","method","method"
"stack","values","",""
"stack","x","",""
"stack","y","",""
"stack","","",""
"d3","layout","tree",""
"tree","children","",""
"tree","links","",""
"tree","nodeSize","",""
"tree","nodes","",""
"tree","separation","",""
"tree","size","",""
"tree","sort","",""
"tree","","",""
"d3","layout","treemap",""
"treemap","children","",""
"treemap","links","",""
"treemap","mode","",""
"treemap","nodes","",""
"treemap","padding","",""
"treemap","round","",""
"treemap","size","",""
"treemap","sort","",""
"treemap","sticky","",""
"treemap","value","",""
"treemap","","",""
"circle","angle","",""
"circle","origin","",""
"circle","precision","",""
"circle","","",""
"d3","geo","area",""
"d3","geo","bounds",""
"d3","geo","centroid",""
"d3","geo","circle",""
"d3","geo","distance",""
"d3","geo","graticule",""
"d3","geo","interpolate",""
"d3","geo","length",""
"d3","geo","path",""
"d3","geo","rotation",""
"graticule","extent","",""
"graticule","lines","",""
"graticule","majorExtent","",""
"graticule","majorStep","",""
"graticule","minorExtent","",""
"graticule","minorStep","",""
"graticule","outline","",""
"graticule","precision","",""
"graticule","step","",""
"graticule","","",""
"path","area","",""
"path","bounds","",""
"path","centroid","",""
"path","context","",""
"path","pointRadius","",""
"path","projection","",""
"path","","",""
"rotation","invert","",""
"rotation","","",""
"albers","parallels","",""
"d3","geo","albersUsa",""
"d3","geo","albers",""
"d3","geo","azimuthalEqualArea","raw"
"d3","geo","azimuthalEqualArea",""
"d3","geo","azimuthalEquidistant","raw"
"d3","geo","azimuthalEquidistant",""
"d3","geo","conicConformal","raw"
"d3","geo","conicConformal",""
"d3","geo","conicEqualArea","raw"
"d3","geo","conicEqualArea",""
"d3","geo","conicEquidistant","raw"
"d3","geo","conicEquidistant",""
"d3","geo","equirectangular","raw"
"d3","geo","equirectangular",""
"d3","geo","gnomonic","raw"
"d3","geo","gnomonic",""
"d3","geo","mercator","raw"
"d3","geo","mercator",""
"d3","geo","orthographic","raw"
"d3","geo","orthographic",""
"d3","geo","projectionMutator",""
"d3","geo","projection",""
"d3","geo","stereographic","raw"
"d3","geo","stereographic",""
"d3","geo","transverseMercator","raw"
"projection","center","",""
"projection","clipAngle","",""
"projection","clipExtent","",""
"projection","invert","",""
"projection","precision","",""
"projection","rotate","",""
"projection","scale","",""
"projection","stream","",""
"projection","translate","",""
"projection","","",""
"clipExtent","extent","",""
"d3","geo","clipExtent",""
"d3","geo","stream",""
"d3","geo","transform",""
"stream","lineEnd","",""
"stream","lineStart","",""
"stream","point","",""
"stream","polygonEnd","",""
"stream","polygonStart","",""
"stream","sphere","",""
"transform","stream","",""
"d3","geom","voronoi",""
"voronoi","clipExtent","",""
"voronoi","links","",""
"voronoi","triangles","",""
"voronoi","x","",""
"voronoi","y","",""
"voronoi","","",""
"d3","geom","quadtree",""
"quadtree","add","",""
"quadtree","find","",""
"quadtree","visit","",""
"d3","geom","polygon",""
"polygon","area","",""
"polygon","centroid","",""
"polygon","clip","",""
"d3","geom","hull",""
"hull","","",""
"hull","x","",""
"hull","y","",""
"d3","behavior","drag",""
"drag","on","",""
"drag","origin","",""
"d3","behavior","zoom",""
"zoom","center","",""
"zoom","duration","",""
"zoom","event","",""
"zoom","on","",""
"zoom","scaleExtent","",""
"zoom","scale","",""
"zoom","size","",""
"zoom","translate","",""
"zoom","x","",""
"zoom","y","",""
"zoom","","",""
